"""Infinitive"",""Simple Past"",""Past participle"""
"""arise"",""arose"",""arisen"""
"""awake"",""awoke, awaked"",""awoken, awaked"""
"""be"",""was, were"",""been"""
"""bear"",""bore"",""borne, born"""
"""beat"",""beat"",""beaten, beat"""























































































































































































